nick_name;base_team_id;position;lane_status;operation_status;fight_status;grade;id;real_name;image;roaming_status;ganking_status;jungling_status
Canna;10;Top;80;60;60;R;1;김창동;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Canna.png;50;30;30
Doran;2;Top;70;90;90;UR;2;최현준;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Doran.png;70;30;30
Dove;9;Top;50;60;70;R;3;김재연;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Dove.png;70;30;30
DuDu;7;Top;70;50;50;C;4;이동주;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/DuDu.png;50;30;30
Kiin;6;Top;60;60;50;C;5;김기인;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Kiin.png;60;30;30
Kingen;3;Top;50;70;70;N;6;황성훈;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Kingen.png;50;30;30
Morgan;5;Top;60;70;50;N;7;박기태;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Morgan.png;70;30;30
Nuguri;4;Top;70;60;70;R;8;장하권;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Nuguri.png;70;30;30
Rascal;8;Top;70;60;60;N;9;김광희;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Rascal.png;65;30;30
Sw0rd;5;Top;50;50;50;C;10;최성원;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Sw0rd.png;75;30;30
Zeus;1;Top;80;60;80;SR;11;최우제;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Zeus.png;80;30;30
Canyon;4;Jungle;30;80;90;SR;12;김건부;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Canyon.png;30;70;60
Croco;9;Jungle;30;60;80;N;13;김동범;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Croco.png;30;60;60
Cuzz;8;Jungle;30;60;70;N;14;문우찬;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Cuzz.png;30;80;70
Dread;10;Jungle;30;60;70;N;15;이진혁;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Dread.png;30;70;60
Ellim;6;Jungle;30;70;50;C;16;최엘림;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Ellim.png;30;60;50
Juhan;3;Jungle;30;70;50;C;17;이주한;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Juhan.png;30;70;50
Oner;1;Jungle;30;70;80;UR;18;문현준;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Oner.png;30;75;80
OnFleek;7;Jungle;30;50;60;C;19;김장겸;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/OnFleek.png;30;70;50
Peanut;2;Jungle;30;90;90;UR;20;한왕호;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Peanut.png;30;90;90
Pyosik;3;Jungle;30;60;70;SR;21;홍창현;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Pyosik.png;30;50;80
UmTi;5;Jungle;30;60;60;C;22;엄성현;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/UmTi.png;30;60;50
Willer;7;Jungle;30;50;50;C;23;김정현;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Willer.png;30;60;60
Aria;8;Middle;50;60;60;N;24;이가을;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Aria.png;60;30;30
Bdd;10;Middle;60;60;60;N;25;곽보성;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Bdd.png;70;30;30
Chovy;2;Middle;90;80;90;UR;26;정지훈;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Chovy.png;60;30;30
Clozer;9;Middle;70;60;80;R;27;이주현;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Clozer.png;60;30;30
Faker;1;Middle;70;70;70;N;28;이상혁;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Faker.png;90;30;30
FATE;6;Middle;60;50;50;C;29;유수혁;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/FATE.png;65;30;30
Karis;7;Middle;50;50;50;C;30;김홍조;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Karis.png;70;30;30
Lava;5;Middle;50;50;50;C;31;김태훈;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Lava.png;50;30;30
ShowMaker;4;Middle;70;70;70;R;32;허수;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/ShowMaker.png;70;30;30
VicLa;8;Middle;70;80;60;R;33;이대광;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/VicLa.png;65;30;30
Zeka;3;Middle;70;60;70;N;34;김건우;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Zeka.png;65;30;30
Aiming;8;ADC;70;70;80;SR;35;김하람;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Aiming.png;50;30;30
Cheoni;7;ADC;50;50;50;C;36;조승모;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Cheoni.png;50;30;30
Deft;3;ADC;60;70;60;N;37;김혁규;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Deft.png;50;30;30
deokdam;4;ADC;60;60;70;N;38;서대길;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/deokdam.png;50;30;30
Ghost;10;ADC;50;60;60;C;39;장용준;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Ghost.png;70;30;30
Gumayusi;1;ADC;70;70;60;R;40;이민형;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Gumayusi.png;50;30;30
Hena;5;ADC;70;50;60;N;41;박증환;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Hena.png;65;30;30
Prince;9;ADC;90;70;80;UR;42;이채환;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Prince.png;50;30;30
Ruler;2;ADC;70;90;90;UR;43;박재혁;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Ruler.png;50;30;30
SamD;7;ADC;60;50;50;C;44;이재훈;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/SamD.png;50;30;30
Teddy;6;ADC;60;70;60;N;45;박진성;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Teddy.png;50;30;30
BeryL;3;Support;90;60;60;R;46;조건희;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/BeryL.png;90;30;30
Delight;5;Support;50;60;50;C;47;유환중;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Delight.png;60;30;30
Effort;10;Support;70;60;50;N;48;이상호;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Effort.png;50;30;30
Hoit;6;Support;90;60;60;R;49;류호성;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Hoit.png;55;30;30
Kael;9;Support;50;90;70;R;50;김진홍;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Kael.png;60;30;30
Kellin;4;Support;50;90;90;SR;51;김형규;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Kellin.png;75;30;30
Keria;1;Support;70;80;80;SR;52;류민석;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Keria.png;85;30;30
Lehends;2;Support;70;80;90;UR;53;손시우;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Lehends.png;70;30;30
Life;8;Support;60;70;70;N;54;김정민;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Life.png;75;30;30
Moham;6;Support;80;50;50;N;55;정재훈;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Moham.png;50;30;30
Peter;10;Support;50;50;50;C;56;정윤수;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Peter.png;50;30;30
SnowFlower;10;Support;70;60;60;N;57;노회종;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/SnowFlower.png;70;30;30
Vsta;7;Support;50;50;50;C;58;오효성;https://lck-esports-manager.s3.ap-northeast-2.amazonaws.com/player/Vsta.png;60;30;30
